NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
20008,MTA New York City Transit,BROOKLYN,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,MTA New York City Transit
20040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"New York Bus Tours, Inc., dba: New York Bus Service"
20071,Town of Huntington,HUNTINGTON,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Huntington
20072,Suffolk County ,YAPHANK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Suffolk County 
20075,Port Authority Transit Corporation,CAMDEN,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,Port Authority Transit Corporation
20076,Westchester County,WHITE PLAINS,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Westchester County
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad"
20079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,"Liberty Lines Transit, Inc."
20080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,New Jersey Transit Corporation
20082,New York City Department of Transportation,NEW YORK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,New York City Department of Transportation
20084,County of Rockland ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,County of Rockland 
20085,Town of Clarkstown ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Town of Clarkstown 
20086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens
20089,Village of Spring Valley ,Spring Valley,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Village of Spring Valley 
20096,Putnam County ,CARMEL,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,Putnam County 
20098,Port Authority Trans-Hudson Corporation,NEW YORK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority,Port Authority Trans-Hudson Corporation
